,Details
0,"रु. 3,10,00,000
Land: 4 aana Road: 18 ft
Bhaisepati LMC, Lalitpur
NRES
ID 1487"
1,"रु. 10,50,00,000
Land: 2-0-0-0 Road: 25ft
Rudreshwor Budhanilkantha, Kathmandu
Hajurko Gharbari
ID 1385"
2,"रु. 3,00,00,000
Land: 0-4-2-0 Road: 12 ft
Sanepa LMC, Lalitpur
Sarju
ID 966"
3,"रु. 3,50,00,000
Land: 0-5-0-0 Road: 14 ft
Bhangal Budhanilkantha, Kathmandu
Hajurko Gharbari
ID 1235"
4,"रु. 2,25,00,000
Land: 0-3-0-2 Road: 15 ft
Pasikot 1 Budhanilkantha, Kathmandu
Hajurko Gharbari
ID 858"
5,"रु. 2,15,00,000
Land: 5 aana Road: 12
Bhaisepati 1 LMC, Lalitpur
Pemba Tamang
ID 248"
6,"रु. 65,00,000
Land: 4 aana Road: 23 ft
Banepa 17 Banepa, Kavreplanchok
Eric Magar
ID 558"
7,"रु. 2,39,00,000
Land: 0-4-0-4 Road: 13 feet
Bhangal 8 Budhanilkantha, Kathmandu
Sekhar Khadka
ID 166"
8,"रु. 3,50,00,000
1822.5 Road: 20 ft Room: 8+
Saurahachowk 10 Ratnanagar, Chitwan
Rev
ID 1871"
9,"रु. 6,50,00,000
8 aana 2 paisa 2 daam Road: 18 ft Room:
Grande Hospital 06 Tokha, Kathmandu
Rajaram Pandey
ID 1870"
10,"रु. 1,55,00,000
3.2 Road: 20 ft Room: 2
Duwakot BMC, Bhaktapur
Tashee Lama
ID 1867"
11,"रु. 90,00,000
3.1 Road: 10 ft Room: 3
Samanthali , Duwakot 1 BMC, Bhaktapur
Tashee Lama
ID 1866"
12,"रु. 19,50,000 aana
Land: 4.47 Aana Road: 20ft
Ward No 1, Chandragiri Municipality, Sabik Ward No.8 Kha, Sabik Dahachowk, VDC, Chandragiri, Kathmandu 8 Chandragiri, Kathmandu
Anju
ID 1872"
13,"रु. 16,50,000 aana
Land: 4.1.3 Road: 20 ft
Katunje 0 BMC, Bhaktapur
Tashee Lama
ID 1869"
14,"रु. 19,00,000 aana
Land: 3.2.3 Road: 20 ft
Duwakot 1 BMC, Bhaktapur
Tashee Lama
ID 1868"
15,"रु. 12,00,000 aana
Land: 17 aana Road: 13 ft
Palubari Sankharapur, Kathmandu
Ravi
ID 1862"
16,"रु. 30,000
1 ropani Road: 20 feet
Malepatan 5 Pokhara, Kaski
Kishor Bandhu Bhurtyal
ID 1863"
17,"रु. 3,50,000
3000 Sqft Road: 12 ft
Thamel 16 KMC, Kathmandu
Simran
ID 1857"
18,"रु. 15,000
Nepal Road:
Dhapshi Tokha, Kathmandu
Mukti Nath Ghimire
ID 1831"
19,"रु.
2 ropani Road:
2950 Pokhara, Kaski
Bijay Sigdel
ID 1774"
